reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.882 
reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.958 
reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.001 
reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.087 
reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.767 
reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.771 
reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.72 
reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.588 
reverse-complement ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.609 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.757 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.603 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.568 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.545 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.563 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.59 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.547 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.554 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.551 
binary-trees ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.552 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.678 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.555 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.621 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.667 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.773 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.528 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.111 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.072 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.543 
n-body ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.914 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.307 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.144 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.182 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.146 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.777 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.673 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.709 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.803 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.751 
mandelbrot ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.616 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.796 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.632 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.565 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.673 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.731 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.579 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.768 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.611 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.594 
fasta ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.608 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.095 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.028 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  3.48 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.634 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.135 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.669 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.227 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.004 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.8 
fannkuch-redux ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.917 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.065 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.15 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.771 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.642 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.756 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.701 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.706 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.026 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.016 
spectral-norm ; 0.000000000000000000, 0.000000000000000000,  ,  ,  0.817 
pidigits ; 0.000000000000000000, 0.000000000000000000,  ,  ,  4.751 
pidigits ; 0.000000000000000000, 0.000000000000000000,  ,  ,  2.063 
pidigits ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.605 
pidigits ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.339 
pidigits ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.223 
pidigits ; 0.000000000000000000, 0.000000000000000000,  ,  ,  1.246 
